,Title(s),Multiplayer,Year(s) released,Developer(s),Publisher(s),Region(s) released
1265,Spyro Orange: The Cortex Conspiracy NA• Spyro Advance: Wakuwaku Tomodachi Daisakusen JP• Spyro Fusion PAL,Yes (SPM),2004,Vicarious Visions,Vivendi Games,"NA, JP, PAL"
1266,SSX 3,Yes,2003,Visual Impact,EA Sports BIG,"NA, PAL"
1267,SSX Tricky,Yes,2005,Visual Impact,EA Sports BIG,"NA, PAL"
1268,Star Communicator,,2001,Konami,Konami,JP
1269,Stadium Games,,2004,Ignition Entertainment,Crave,"NA, PAL"
1270,Star Wars: The New Droid Army,,2002,Helixe,THQ,"NA, PAL"
1271,Star Wars Episode I: Jedi Power Battles,,20012002,Helixe,THQ,"NA, PAL"
1272,"Star Wars: Episode II – Attack of the Clones NA, PAL• Star Wars: Episode II - Angriff der Klonkrieger DE• Star Wars: Episodio II - El Ataque de los Clones ES",No,2002,David A. Palmer Productions,THQ,"NA, PAL"
1273,Star Wars: Episode III - Revenge of the Sith,Yes (VS),2005,Ubisoft,Ubisoft,"NA, PAL"
1274,Star Wars: Flight of the Falcon,No,2003,Pocket Studios,THQ,"NA, PAL"
1275,Star Wars Trilogy: Apprentice of the Force,Yes (COOP),2004,Ubisoft,Ubisoft,"NA, PAL"
1276,Star X,,2002,Graphic State,Bam Entertainment,"NA, PAL"
1277,Starsky & Hutch,,2003,Spellbound,Empire Interactive,"NA, PAL"
1278,Steel Empire PAL• Koutetsu Teikoku from Hot-B JP,,2005,Starfish,Zoo Digital Publishing,"JP, PAL"
1279,Steven Gerrard's Total Soccer 2002 PAL• Alexander Zickler Total Soccer 2002 DE• Total Soccer Advance JP,,20012002,Exient Entertainment,Ubisoft,"JP, PAL"
1280,Strawberry Shortcake: Ice Cream Island Riding Camp PAL• Charlotte aux Fraises: Le Centre d'équitation du Pays de la Crème Glacée FR,Yes,2006,Gorilla Systems,The Game Factory,PAL
1281,Strawberry Shortcake: Summertime Adventure,Yes,2004,Gorilla Systems,Majesco Entertainment,
1282,Strawberry Shortcake: Sweet Dreams,Yes,2006,Gorilla Systems,Majesco Entertainment,
1283,"Street Fighter Alpha 3 NA, PAL• Street Fighter Zero 3 Upper JP",Yes (VS),2002,Crawfish Interactive,Capcom,"NA, JP, PAL"
1284,Street Jam Basketball,,2004,Prograph,Destination Software,
1285,Street Racing Syndicate,,2005,Raylight Studios,Namco,"NA, PAL"
1286,Strike Force Hydra,,2003,Awesome Developments,Ignition Entertainment,"NA, PAL"
1287,Stuart Little 2,,2002,Creations,Activision,"NA, PAL"
