,Title(s),Multiplayer,Year(s) released,Developer(s),Publisher(s),Region(s) released
0,3-in-1 Sports Pack: Paintball Splat! / Dodgeball Dodge This! / Big Alley Bowling NA• Majesco's Sport Pack PAL,,2005 (NA)2006 (PAL),Skyworks Technologies,Majesco Entertainment,"NA, PAL"
1,"007: Everything or Nothing NA, PAL• James Bond 007: Everything or Nothing JP• 007: Quitte ou Double FR• 007: Alles oder Nichts DE",Yes,2003 (NA/PAL)2004 (JP),Griptonite Games,"EA Games NA, PAL / Electronic Arts JP","NA, JP, PAL"
2,007: Nightfire,Yes (VS),2003,JV Games Inc.,Electronic Arts,"NA, PAL"
3,A Sound of Thunder,"Yes (COOP, SPM)",2004 (PAL)2005 (NA),Möbius Entertainment,"BAM! Entertainment, Inc. / Franchise Interactive","NA, PAL"
4,Ace Combat Advance,No,2005 (NA)2006 (PAL),HumanSoft,Namco,"NA, PAL"
5,Ace Lightning,No,2002,Tiertex Design Studios,BBC Multimedia,PAL
6,Action Man: Robot Atak,No,2004,Magic Pockets,Atari,PAL
7,Activision Anthology,Yes (SPM),2003,Aspyr,Aspyr,
8,Advance Guardian Heroes,Yes (COOP),2004,Treasure Co. Ltd,Ubisoft,"NA, JP, PAL"
9,"Advance Wars NA, PAL /Game Boy Wars Advance & Game Boy Wars Advance 2 JP",Yes (SPM),2001,Intelligent Systems,Nintendo,"NA, PAL"
10,Advance Wars 2: Black Hole Rising,Yes (SPM),2003,Intelligent Systems,Nintendo,"NA, PAL"
11,Adventure of Tokyo Disney Sea,,2001,,Konami,JP
12,The Adventures of Jimmy Neutron vs. Jimmy Negatron,Yes (SPM),2002,HumanSoft,THQ,"NA, PAL"
13,"The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies NA, PAL• Jimmy Neutron un Garçon Génial: L'Attaque des Twonkies FR",Yes,2004,Tantalus,THQ,"NA, PAL"
14,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,No,2003,Helixe,THQ,"NA, PAL"
15,"Aero the Acro-Bat: Rascal Rival Revenge NA, PAL• Acrobat Kid JP",No,2002,Atomic Planet Entertainment,Metro3D,"NA, JP, PAL"
16,Agassi Tennis Generation,Yes,2003,Aqua Pacific,DreamCatcher Interactive,"NA, PAL"
17,Agent Hugo: Roborumble,,2007,Program-Ace,ITE Media,PAL
18,Aggravation / Sorry / Scrabble Junior,,2005,Gravity-I,DSI Games,"NA, PAL"
19,Aggressive Inline,,2002,Full Fat,AKA Acclaim,"NA, PAL"
20,AirForce Delta Storm NA• Airforce Delta II JP• Deadly Skies PAL,No,2002,Mobile21,Konami,"NA, JP, PAL"
21,Aka-chan Dōbutsuen,,2004,,TDK Core,JP
22,Akagi: Yami ni Maiorita Tensai,,2006,,Culture Brain,JP
23,Aleck Bordon Adventure: Tower and Shaft Advance,,2004,Aruze,Aruze,JP
24,Alex Ferguson's Player Manager 2002 UK• Total Soccer Manager PAL• Guy Roux Manager 2002 FR,,2002,Exient Entertainment,Ubisoft,PAL
25,Alex Rider: Stormbreaker,,2006,Razorback Developments,THQ,"NA, PAL"
26,Alienators: Evolution Continues,,2001,Digital Eclipse,Activision,"NA, PAL"
27,Alien Hominid,No,2006,Tuna,Zoo Digital Publishing,PAL
28,All Grown Up!: Express Yourself NA• Razbitume! — Restez Branches! FR,Yes,2004,Altron,THQ,"NA, PAL"
29,All-Star Baseball 2003,,2002,Software Creations,Acclaim Sports,
30,All-Star Baseball 2004,,2003,Acclaim Studios Manchester,Acclaim Sports,
31,Altered Beast: Guardian of the Realms,Yes,2002,3d6 Games,THQ,"NA, PAL"
32,The Amazing Virtual Sea-Monkeys,,2002,Elo Interactive,Conspiracy Entertainment,
33,American Bass Challenge NA• Super Black Bass Advance JP PAL,Yes (SPM),2001,Starfish,Ubisoft,"NA, JP"
34,American Idol NA• Pop Idol PAL• Deutschland sucht den Superstar DE,,2003,Rockstar Leeds,Codemasters,"NA, PAL"
35,"An American Tail: Fievel's Gold Rush NA, PAL• Fievel et le Trésor Perdu FR• Feivel der Mauswanderer und der Verborgene Schatz DE",No,2002,Hokus-Pokus,Conspiracy Entertainment,"NA, PAL"
36,Angel Collection - Mezase! Gakuen no Fashion Leader,,2004,Gakken,MTO,JP
37,Angel Collection 2: Pichimo Ni Narou,,2004,Gakken,MTO,JP
38,Angelique,No,2002,Ruby Party,Koei,JP
39,Animal Mania: Dokidoki Aishou Check,,2002,Jupiter,Konami,JP
40,Animal Snap: Rescue Them 2 by 2,,2003,Awesome Developments,Ignition Entertainment,PAL
41,Animal Yokochou: Doki*Doki Kyushutsu Daisakusen! no Maki,,2005,,Konami,JP
42,Animal Yokochou: Doki Doki Shinkyuu Shiken! no Kan,,2006,Konami,Konami,JP
43,"Animaniacs: Lights, Camera, Action!",,2005,Warthog,Ignition Entertainment,"NA, PAL"
44,"The Ant Bully NA, PAL• Lucas Fourmi Malgré Lui FR",,2006,A2M,Midway Games,"NA, PAL"
45,"Antz Extreme Racing NA, PAL• Fourmiz Extreme Racing FR",,2002,Magic Pockets,LSP,"NA, PAL"
46,Ao Zora to Nakama Tachi: Yume no Bouken,,2002,,MTO,JP
47,Archer Maclean's 3D Pool,,2003,Awesome Productions,Crave,"NA, PAL"
48,Arctic Tale,,2007,Atomic Planet,Zoo Digital Publishing / DSI Games,"NA, PAL"
49,Army Men Advance,No,2001,DC Studios,3DO,"NA, PAL"
50,Army Men: Operation Green,No,2001,Pocket Studios,3DO,"NA, PAL"
51,Army Men: Turf Wars,Yes (SPM),2002,Möbius Entertainment,3DO,
52,"Around the World in 80 Days NA, PAL• Le Tour du Monde en 80 Jours FR",No,2004,Saffire,Hip Games,"NA, PAL"
53,Arthur and the Invisibles NA• Arthur and The Minimoys PAL• Arthur et Les Minimoys FR• Arthur e il Popolo dei Minimei IT,,2007,Mistic Software,Atari,"NA, PAL"
54,Ashita no Joe Makkani Moeagare!,,2003,Konami,Konami,JP
55,Asterix & Obelix: Bash 'em All! PAL• Asterix & Obelix: Paf! Par Toutatis! FR• Asterix & Obelix: Jetzt Geht's Rund! DE,,2002,Bit Managers,Infogrames,PAL
56,Asterix & Obelix XXL,,2004,V3D Production,Atari,PAL
57,Asteroids / Pong / Yars' Revenge,,2005,ECI Interactive,DSI Games,"NA, PAL"
58,"Astro Boy: Omega Factor NA, PAL• Astro Boy: Tetsuwan Atom JP",No,2003,Hitmaker,Sega,"NA, JP, PAL"
59,Atari Anniversary Advance Asteroids Battlezone Centipede Missile Command Super Breakout Tempest,,2002,Digital Eclipse,Infogrames,"NA, PAL"
60,Atomic Betty,,2005,Big Blue Bubble,Namco,"NA, PAL"
61,ATV Quad Power Racing,No,2002,Climax,AKA Acclaim,"NA, PAL"
62,ATV Thunder Ridge Riders,,2006,SkyRiver Studios,DSI Games,"NA, PAL"
63,Avatar: The Last Airbender NA• Avatar: The Legend of Aang PAL• Avatar: Le Dernier Maître de l'Air FR• Avatar: Der Herr der Elemente DE,,2006,THQ / TOSE / Halfbrick,THQ,"NA, PAL"
64,Avatar: The Last Airbender - The Burning Earth NA• Avatar: The Legend of Aang - The Burning Earth PAL• Avatar: Der Herr der Elemente - Die Erde Brennt DE,,2007,THQ / Halfbrick,THQ,"NA, PAL"
65,Azumanga Daioh Advance,,2003,TOSE,King Records,JP
66,"Babar: To the Rescue NA, PAL• Babar à la rescousse FR",,2006,Sirius Software,The Game Factory,"NA, PAL"
67,Back to Stone,,2006 (NA)2007 (PAL),Hidden Floor,Q3 Entertainment NANeko Entertainment PAL,"NA, PAL"
68,Back Track,Yes,2001,JV Games,Telegames,"NA, PAL"
69,Backyard Baseball,,2003,GameBrains,Infogrames,
70,Backyard Baseball 2006,,2005,GameBrains,Atari,
71,Backyard Basketball,,2004,"Humongous Entertainment, Mistic",Atari,
72,Backyard Football,,2002,Torus Games,Infogrames,
73,Backyard Football 2006,,2005,Humongous Entertainment,Atari,
74,Backyard Hockey,,2003,"Humongous Entertainment, Mistic",Atari,
75,Backyard Skateboarding,,2005,Full Fat / Humongous Entertainment,Atari,
76,Backyard Sports: Baseball 2007,,2006,Humongous Entertainment,Atari,
77,Backyard Sports: Basketball 2007,,2006,"Humongous Entertainment, Mistic",Atari,
78,Backyard Football 2007,,2006,Humongous Entertainment,Atari,
79,Bakuten Shoot Beyblade: Gekitou! Saikyou Blade,,2001,AI,Broccoli,JP
80,Bakuten Shoot Beyblade 2002: Ikuze! Gekitou! Chou Jiryoku Battle!!,,2002,Hudson Soft,Broccoli,JP
81,Bakuten Shoot Beyblade 2002: Gekisen! Team Battle!! Kouryuu no Shou - Daichi Version,,2002,Hudson Soft,Broccoli,JP
82,Bakuten Shoot Beyblade 2002: Gekisen! Team Battle!! Seiryuu no Shou - Takao Version,,2002,Hudson Soft,Broccoli,JP
83,Baldur's Gate: Dark Alliance,,2004,Magic Pockets,Destination Software,"NA, PAL"
84,Ballistic: Ecks vs. Sever NA• Ecks vs. Sever II: Ballistic PAL,Yes (COOP),2002,Crawfish Int.,Bam Entertainment,"NA, PAL"
85,"Banjo-Kazooie: Grunty's Revenge NA, PAL• Banjo-Kazooie: La Revanche de Grunty FR• Banjo-Kazooie: Grunty's Rache DE• Banjo-Kazooie: La Venganza de Grunty ES• La vendetta di Grunty IT",No,2003,Rare,THQ,"NA, PAL"
86,Banjo-Pilot,Yes,2005,Rare,THQ,"NA, PAL"
87,Barbie and the Magic of Pegasus,,2005,WayForward,VU Games,"NA, PAL"
88,Barbie as the Island Princess,,2007,HumanSoft,Activision,
89,Barbie as the Princess and the Pauper,,2004,WayForward,VU Games,"NA, PAL"
90,The Barbie Diaries: High School Mystery,,2006,Gorilla Systems,Activision,"NA, PAL"
91,"Barbie in the 12 Dancing Princesses NA, PAL• Barbie au Bal des 12 Dancing Princesses FR• Barbie in die 12 Tanzenden Prinzessinnen DE",,2007,WayForward,Activision,"NA, PAL"
92,Barbie Software - Horse Adventures: Blue Ribbon Race NA• Barbie Horse Adventures: The Big Race PAL• Barbie Pferdeabenteuer: Das große Reitturnier DE,,2003,Möbius Entertainment,VU Games,"NA, PAL"
93,Barbie Software: Groovy Games,,2002,Digital Illusions,VU Games,"NA, PAL"
94,Barbie Software - Secret Agent Barbie: Royal Jewels Mission NA• Barbie Software - Secret Agent Barbie PAL,,2002,Digital Illusions,VU Games,"NA, PAL"
95,Barnyard NA• Nickelodeon Barnyard PAL• La Ferme en Folie FR• El Corral ES• Barnyard Il Cortile IT,,2006,Halfbrick Studios,THQ,"NA, PAL"
96,Baseball Advance NA• Greatest Nine JP,No,2002,Smilebit,THQ NASega PAL,"NA, JP"
97,Bass Tsuri Shiyouze!: Tournament wa Senryaku da!,,2002,,Konami,JP
98,Batman Begins,,2005,Vicarious Visions,EA Games,"NA, PAL"
99,Batman: Rise of Sin Tzu,No,2003,Ubisoft,Ubisoft,
100,Batman: Vengeance,,2001,Ubisoft Montreal,Ubisoft,"NA, PAL"
101,Battle B-Daman NA• B-Densetsu! Battle B-Daman Moero! B-Kon JP,,2004 (JP)2006 (NA),Atlus,Atlus,"NA, JP"
102,Battle B-Daman: Fire Spirits! NA• B-Densetsu! Battle B-Daman Honoo Tamashii JP,,2005 (JP)2006 (NA),Atlus,Atlus,"NA, JP"
103,Battle x Battle: Kyoudai Uo Densetsu,,2003,Starfish,,JP
104,BattleBots: Beyond the BattleBox,Yes,2002 (NA)2003 (PAL),Cave Barn,Majesco Entertainment NASierra Entertainment PAL,"NA, PAL"
105,BattleBots: Design & Destroy,Yes,2003,Cave Barn,Majesco Entertainment,
106,BB Ball,,2004,Micott & Basara,Micott & Basara,JP
107,Beast Shooter: Mezase Beast King,Yes (SPM),2002,Hudson Soft,Konami,JP
108,"The Bee Game NA, PAL• Die Biene Maja: Klatschmohnwiese in Gefahr DE",,2007,Independent Arts,Midway,"NA, PAL"
109,The Berenstain Bears and the Spooky Old Tree,,2005,Program-Ace,Namco,
110,Best Play Pro Yakyuu(Best Play Pro Baseball),,2002,ParityBit,Enterbrain,JP
111,Beyblade: G-Revolution,,2004,Full Fat,Atari,"NA, PAL"
112,Beyblade VForce: Ultimate Blader Jam,,2003,Full Fat,Atari,"NA, PAL"
113,Bibi Blocksberg: Der Magische Hexenkreis DE,,2005,Morgen Studios,Kiddinx,PAL
114,Bibi und Tina: Ferien auf dem Martinshof DE,,2006,Morgen Studios,Kiddinx,PAL
115,The Bible Game,,2005,Crave,Crave,
116,Big Mutha Truckers,No,2005,Raylight Studios,Destination Games NAZoo Digital Publishing PAL,"NA, PAL"
117,Bionicle,,2003,Möbius Entertainment,THQ,"NA, PAL"
118,Bionicle Heroes,,2006,Amaze Entertainment,Eidos Interactive,"NA, PAL"
119,Bionicle: Matoran Adventures,,2002,Argonaut Games,Electronic Arts,"NA, PAL"
120,Bionicle: Maze of Shadows,,2005,Razorback Developments,THQ,"NA, PAL"
121,bit Generations: Boundish,,2006,SkipNot DigidriveQ-GamesDigidrive,Nintendo,JP
122,bit Generations: Coloris,,2006,SkipNot DigidriveQ-GamesDigidrive,Nintendo,JP
123,bit Generations: Dialhex,,2006,SkipNot DigidriveQ-GamesDigidrive,Nintendo,JP
124,bit Generations: Digidrive,,2006,SkipNot DigidriveQ-GamesDigidrive,Nintendo,JP
125,bit Generations: Dotstream,,2006,SkipNot DigidriveQ-GamesDigidrive,Nintendo,JP
126,bit Generations: Orbital,,2006,SkipNot DigidriveQ-GamesDigidrive,Nintendo,JP
127,bit Generations: Soundvoyager,,2006,SkipNot DigidriveQ-GamesDigidrive,Nintendo,JP
128,Black Belt Challenge,Yes,2002,Lost Boys,THQ NAXicat Interactive PAL,"NA, PAL"
129,Black Black,,2002,Capcom,Capcom,JP
130,Black Matrix Zero,No,2002,Flight-Plan,NEC Interchannel,JP
131,Blackthorne,,2003,Mass Media Inc.,Blizzard Classic Arcade,"NA, PAL"
132,Blades of Thunder,,2005,InterActive Vision Games,Summitsoft Entertainment,
133,Bleach Advance: Kurenai ni Somaru Soul Society,,2005,Alpha Unit,Sega,JP
134,Blender Bros.,Yes (SPM),2002,A.I.,Infogrames,
135,BMX Trick Racer,,2003,Hypnotix,Simon & Schuster Interactive,
136,Board Game Classics NA• Board Game Classics: Chess & Draughts & Backgammon PAL,,2005,Black Lantern Studios,DSI Games NAZoo Digital Publishing PAL,"NA, PAL"
137,Bobobo-bo Bo-bobo: 9 Kiwame Senshi Gyagu Yuugou,,2004,,Hudson Soft,JP
138,Bobobo-bo Bo-bobo: Backutou Hajike Taisen,,2004,,Hudson Soft,JP
139,Bobobo-bo Bo-bobo: Majide!!? Shinken Shoubu,,2003,Rokumendo,Hudson Soft,JP
140,Bobobo-bo Bo-bobo: Ougi 87.5 Bakuretsu Hanage Shinken,,2002,,Hudson Soft,JP
141,"Boktai: The Sun is in Your Hand NA, PAL• Bokura no Taiyō JP",,2003 (JP/NA)2004 (PAL),Hideo Kojima Production,Konami,"NA, JP, PAL"
142,"Boktai 2: Solar Boy Django NA, PAL• Zoku Bokura no Taiyō Taiyō Shōnen Jango JP",,2004 (JP/NA)2005 (PAL),Hideo Kojima Production,Konami,"NA, JP, PAL"
143,Boku no Kabuto Kuwagata,,2003,,MTO,JP
144,Boku no Kabuto Mushi,,2001,,MTO,JP
145,Boku no Kuwagata,,2001,,MTO,JP
146,Boku wa Koukuu Kanseikan(I am an Air Traffic Controller),,2001 (JP),Graphic Research,Tamsoft,JP
147,Bomberman Jetters: Densetsu no Bomberman,Yes (SPM),2002,A.I.,Hudson Soft,JP
148,Bomberman Jetters: Game Collection,Yes (SPM),2002,Hudson Soft,Hudson Soft,JP
149,"Bomberman Max 2: Blue Advance NA, PAL• Bomberman Max 2: Bomberman Version JP",Yes (SPM),2002 (JP/NA)2003 (PAL),Hudson Soft,Hudson Soft JPMajesco Entertainment NASierra Entertainment PAL,"NA, JP, PAL"
150,"Bomberman Max 2: Red Advance NA, PAL• Bomberman Max 2: Max Version JP",Yes,2002 (JP/NA)2003 (PAL),Hudson Soft,Hudson Soft JPMajesco Entertainment NASierra Entertainment PAL,"NA, JP, PAL"
151,"Bomberman Tournament NA, PAL• Bomberman Story JP",Yes (SPM),2001,Amble,"Hudson Soft JPActivision NA, PAL","NA, JP, PAL"
152,Bookworm,,2004,PopCap,Majesco Entertainment,
153,Bouken Yuuki Pluster World: Densetsu no Plust Gate,,2003,Will,Takara,JP
154,Bouken Yuuki Pluster World: Densetsu no Plust Gate EX,,2003,Will,Takara,JP
155,Bouken Yuuki Pluster World: Pluston GP,,2003,Will,Takara,JP
156,Bouken-Ou Beet: Busters Road,,2005,,Bandai,JP
157,Boukyaku no Senritsu: The Melody of Oblivion,,2004,Alpha Unit,Bandai,JP
158,Boulder Dash EX,Yes (SPM),2002 (JP/NA)2003 (PAL),Vision Works,Kemco,"NA, JP, PAL"
159,Boxing Fever,Yes,2001 (NA)2002 (PAL),Digital Fiction,Majesco Entertainment NATHQ PAL,"NA, PAL"
160,Bratz,,2003,DC Studios,Ubisoft,"NA, PAL"
161,Bratz Babyz,,2006,Barking Lizards,THQ,"NA, PAL"
162,Bratz: Forever Diamondz,,2006,Barking Lizards,THQ,"NA, PAL"
163,Bratz: Rock Angelz,No,2005,Altron,THQ,"NA, PAL"
164,Bratz: The Movie,,2007,Disney Interactive Studios,THQ,
165,"Breath of Fire NA, PAL• Breath of Fire: Ryuu no Senshi JP",No,2001,Capcom,"CapcomJP, NAUbisoft PAL","NA, JP, PAL"
166,"Breath of Fire II NA, PAL• Breath of Fire II: Shimei no Ko JP",No,2001 (JP)2002 (NA/PAL),Capcom,"CapcomJP, NAUbisoft PAL","NA, JP, PAL"
167,Britney's Dance Beat,,2002,Art,THQ,"NA, PAL"
168,"Broken Sword: The Shadow of the Templars NA, PAL• Broken Sword: Les Chevaliers de Baphomet FR",No,2002,Revolution Software,BAM! Entertainment,"NA, PAL"
169,Bruce Lee: Return of the Legend,No,2003,Vicarious Visions,VU Games NAUniversal Interactive PAL,"NA, PAL"
170,Bubble Bobble Old & New,"Yes (COOP, SPM)",2002 (JP)2003 (NA/PAL),Taito Corporation,"Media Kite JPEmpire Interactive NA, PAL","NA, JP, PAL"
171,"Buffy the Vampire Slayer: Wrath of the Darkhul King NA, PAL• Buffy Contre les Vampires: La Colère de Darkhul FR• Buffy im Bann der Daemonen: Koenig Darkhuls Zorn DE",,2003,Natsume,THQ,"NA, PAL"
172,Butt-Ugly Martians: B.K.M. Battles,,2002,Runecraft,VU Games,"NA, PAL"
173,Cabbage Patch Kids: The Patch Puppy Rescue,,2006,1st Playable Productions,D3Publisher,"NA, PAL"
174,Cabela's Big Game Hunter,,2002,ImageBuilder Software,Activision,
175,Cabela's Big Game Hunter 2005 Adventures,,2004,Torus Games,Activision Value,"NA, PAL"
176,Caesars Palace Advance: Millennium Gold Edition,,2001,,Majesco,
177,Calcio Bit,,2006,ParityBit,Nintendo,JP
178,Camp Lazlo: Leaky Lake Games,,2006,Collision Studios,Crave,"NA, PAL"
179,Candy Land / Chutes and Ladders / Original Memory Game,,20052006,Black Lantern Studios,Destination Software,"NA, PAL"
180,Capcom Classics Mini-Mix Strider Bionic Commando Mighty Final Fight,,2006,Digital Eclipse Software,Capcom,
181,Captain Tsubasa: Eikou no Kiseki(Captain Tsubasa: Road to Glory),,2002,,Konami,JP
182,Car Battler Joe NA• Gekitou! Car Battler Go!! JP,,2001 (JP)2002 (NA),Ancient,Victor Interactive Software JPNatsume NA,"NA, JP"
183,Cardcaptor Sakura: Sakura Card de Mini-Game,,2003,Affect,TDK Core,JP
184,Cardcaptor Sakura: Sakura Card-hen - Sakura Card to Tomodachi,,2004,,MTO,JP
185,Card Party,Yes (SPM),2002,NDcube,Media Kite,JP
186,"Care Bears: Care Quest NA, PAL• Les Bisounours: Mission Câlins FR",,2005,Sirius Games,The Game Factory,"NA, PAL"
187,Carrera Power Slide,,2003,Tiertex Design Studios,Stadlbauer,PAL
188,"Cars NA, PAL• Cars: Motori Ruggenti IT",Yes,2006,Helixe,THQ,"NA, JP, PAL"
189,"Cars Mater-National Championship NA, PAL• Cars: La Coupe Internationale de Martin FR",,2007,Tantalus Interactive,THQ,"NA, PAL"
190,Cartoon Network: Block Party,,2004,Majesco Entertainment,Majesco Sales,"NA, PAL"
191,Cartoon Network Speedway,,2003,DC Studios,Majesco Entertainment,
192,Casper,,2002,,Microïds,"NA, PAL"
193,"Castlevania: Aria of Sorrow NA, PAL• Castlevania: Akatsuki no Minuet JP",No,2003,KCEK,Konami,"NA, JP, PAL"
194,Castlevania: Circle of the Moon NA• Castlevania PAL• Akumajou Dracula: Circle of the Moon JP,No,2001 (JP/NA/PAL),KCEK,Konami,"NA, JP, PAL"
195,"Castlevania: Harmony of Dissonance NA, PAL• Castlevania: Byakuya no Conserto JP",No,2002,KCEK,Konami,"NA, JP, PAL"
196,The Cat in the Hat,,2005,Jack of All Games,NewKidCo,
197,Catwoman,No,2004,Magic Pockets,EA Games,"NA, PAL"
198,Catz,,2006,MTO,Ubisoft,"NA, PAL"
199,Centipede / Breakout / Warlords,,2005,Epicenter Interactive,DSI Games,"NA, PAL"
200,Cesti to Meigurumi-tachi no Mahou no Bouken: Kisekko Gurumii,,2003,,MTO,JP
201,"Charlie and the Chocolate Factory NA, PAL• Charlie et la Chocolaterie FR",Yes,2005,High Voltage Software,Global Star Software,"NA, PAL"
202,"Charlotte's Web NA, PAL• Le Petit Monde de Charlotte FR• Schweinchen Wilbur und seine Freunde DE• La Telaraña de Carlota ES• Le Tela di Carlotta IT",,2006,Backbone Entertainment,Sega of America,"NA, PAL"
203,The Cheetah Girls,,2006,Gorilla Systems,Buena Vista Games,
204,The Chessmaster,Yes (SPM),2002,,Ubisoft,"NA, PAL"
205,Chicken Shoot,,2005,FrontLine Studios,DSI Games,"NA, PAL"
206,Chicken Shoot 2,,2006,FrontLine Studios,DSI Games,"NA, PAL"
207,Chobits: Atashi Dake no Hito,,2002,,Marvelous Entertainment,JP
208,Chocobo Land: A Game of Dice,,2002,SquareSoft,Square,JP
209,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe NA, PAL• Narnia Koku Monogatari: Lion to Majo JP• Le Monde de Narnia Chapitre 1: Le Lion, la Sorcière Blanche et l'Armoire Magique FR• Die Chroniken von Narnia: Der König von Narnia DE• Las Crónicas de Narnia: El León, la Bruja y El Ropero ES• Le Cronache Di Narnia: Il Leone, La Strega e L'armadio IT",,2005,Amaze Entertainment,Buena Vista Games,"NA, JP, PAL"
210,ChuChu Rocket!,Yes (SPM),2001,Sonic Team,Sega,"NA, JP, PAL"
211,CIMA: The Enemy NA• Frontier Stories JP,,2003 (NA)2005 (JP),Neverland,Natsume NAMarvelous Entertainment JP,"NA, JP"
212,Cinnamon: Yume no Daibouken,,2004,,Imagineer,JP
213,Cinnamoroll FuwaFuwa Daibouken,,2005,,Rocket Company,JP
214,Cinnamoroll Koko ni Ruyo,,2003,AI,Imagineer,JP
215,"Classic NES Series: Bomberman NA, PAL• Famicom Mini: Bomberman JP",,2004,Hudson Soft,Nintendo,"NA, JP, PAL"
216,"Classic NES Series: Castlevania NA, PAL• Famicom Mini: Akumajou Dracula JP",,2004,Konami,Nintendo,"NA, JP, PAL"
217,"Classic NES Series: Donkey Kong NA, PAL• Famicom Mini: Donkey Kong JP",,2004,Nintendo,Nintendo,"NA, JP, PAL"
218,"Classic NES Series: Dr. Mario NA, PAL• Famicom Mini: Dr. Mario JP",,2004,Nintendo,Nintendo,"NA, JP, PAL"
219,"Classic NES Series: Excitebike NA, PAL• Famicom Mini: Excitebike JP",,2004,Nintendo,Nintendo,"NA, JP, PAL"
220,"Classic NES Series: Ice Climber NA, PAL• Famicom Mini: Ice Climber JP",,2004,Nintendo,Nintendo,"NA, JP, PAL"
221,"Classic NES Series: The Legend of Zelda NA, PAL• Famicom Mini: Zelda no Densetsu JP",,2004,Nintendo,Nintendo,"NA, JP, PAL"
222,"Classic NES Series: Metroid NA, PAL• Famicom Mini: Metroid JP",,2004,Nintendo,Nintendo,"NA, JP, PAL"
223,"Classic NES Series: Pac-Man NA, PAL• Famicom Mini: Pac-Man JP",,2004,Namco,Nintendo,"NA, JP, PAL"
224,"Classic NES Series: Super Mario Bros. NA, PAL• Famicom Mini: Super Mario Bros. JP",,2004,Nintendo,Nintendo,"NA, JP, PAL"
225,"Classic NES Series: Xevious NA, PAL• Famicom Mini: Xevious JP",,2004,Namco,Nintendo,"NA, JP, PAL"
226,"Classic NES Series: Zelda II: The Adventure of Link NA, PAL• Famicom Mini: The Legend of Zelda 2: Link no Bouken JP",,2004,Nintendo,Nintendo,"NA, JP, PAL"
227,Cocoto Kart Racer,,2005,Neko Entertainment,Bigben Interactive,PAL
228,Cocoto Platform Jumper,,2007,Neko Entertainment,Bigben Interactive,PAL
229,Codename: Kids Next Door: Operation S.O.D.A.,,2004,Vicarious Visions,Global Star Software,
230,Colin McRae Rally 2.0,Yes (SPM),2002,Spellbound,Ubisoft,"NA, PAL"
231,Columns Crown,Yes (SPM),2002,Wow Entertainment,Sega,"NA, JP, PAL"
232,Combat Choro Q: Advance Daisakusen,,2002,Access,Takara,JP
233,Comix Zone,,2002,Virtucraft,Sega,PAL
234,Connect Four / Perfection / Trouble,,2005,Gravity-I,DSI Games,
235,"Contra Advance: The Alien Wars EX NA, PAL• Contra: Hard Spirits JP",Yes (COOP),2002,TOSE,Konami,"NA, JP, PAL"
236,Corvette,,2003,Visual Impact,TDK Mediactive,
237,Crash Bandicoot: The Huge Adventure NA• Crash Bandicoot Advance JP• Crash Bandicoot XS PAL,No,2002,Vicarious Visions,Vivendi Games,"NA, JP, PAL"
238,"Crash Bandicoot 2: N-Tranced NA, PAL• Crash Bandicoot Advance 2: Guru Guru Sai Min Dai Panic! JP",Yes,2003,Vicarious Visions,Vivendi Games,"NA, JP, PAL"
239,Crash Bandicoot Purple: Ripto's Rampage NA• Crash Bandicoot Advance: Wakuwaku Tomodachi Daisakusen! JP• Crash Bandicoot: Fusion PAL,Yes (SPM),2005,Vicarious Visions,Vivendi Games,
240,"Crash Nitro Kart NA, PAL• Crash Bandicoot: Bakusou! Nitro Kart JP",Yes,2003,Vicarious Visions,Vivendi Games,"NA, JP, PAL"
241,Crash of the Titans,,2007,Amaze Entertainment,Sierra Entertainment,"NA, PAL"
242,Crayon Shin-Chan: Arashi no Yobu Cinema-Land no Daibouken! JP• Shinchan: Aventuras en Cineland ES,,2004 (JP)2005 (PAL),Inti Creates,Atari SA,"JP, PAL"
243,Crayon Shin-Chan: Densetsu o Yobu Omake no To Shukkugaan! JP• Shinchan contra los muñecos de Shock Gahn ES,,2006,Inti Creates,Atari SA,"JP, PAL"
244,Crazy Frog Racer,No,2005,Neko Entertainment,Digital Jesters,PAL
245,Crazy Chase,No,2002,,Kemco,"NA, PAL"
246,Crazy Taxi: Catch a Ride,No,2003,Kemco,Sega,"NA, PAL"
247,Creatures,,2002,Elo Interactive,Swing! Deutschland,PAL
248,Croket! Great Jikuu no Boukensha,,2004,,Konami,JP
249,Croket! Yume no Banker Survival!,,2002,,Konami,JP
250,Croket! 2: Yami no Bank to Ban Joou,,2003,,Konami,JP
251,Croket! 3: Granyuu Oukoku no Nazo,,2003,,Konami,JP
252,Croket! 4: Bank no Mori no Mamorigami,,2004,,Konami,JP
253,"Crouching Tiger, Hidden Dragon",,2003,,Ubisoft,"NA, PAL"
254,Cruis'n Velocity,,2001,Graphic State,Midway Games,
255,Crushed Baseball,,2004,Griptonite Games,Summitsoft Entertainment,
256,CT Special Forces,Yes,2002,Light and Shadow Productions,Hip Interactive,"NA, PAL"
257,CT Special Forces 2: Back in the Trenches NA• CT Special Forces 2: Back to Hell PAL,Yes,2003,Light and Shadow Productions,Hip Interactive,"NA, PAL"
